TransactionID;Date;Time;CustomerID;Age;Gender;Location;StoreID;OnlineOrderFlag;ProductID;ProductName;Category;Quantity;UnitPrice;TotalPrice;PaymentType;PromotionApplied;DiscountAmount;Total Sales;GiftWrap;ShippingMethod;DeliveryTime;Weather;Event;CustomerSatisfaction;ReturnFlag
27;06.12.2021;08:22:32;19;35;Male;City_20;;WAHR;696;Decorations_Product;Decorations;2;41,35014224;82,70028448;Credit Card;WAHR;0;82,70028448;FALSCH;Overnight;1;Snowy;None;1;WAHR
28;03.12.2019;04:22:11;52;51;Male;City_6;76;FALSCH;917;Electronics_Product;Electronics;2;18,30060647;36,60121294;Credit Card;WAHR;3,660121294;32,941091646;WAHR;;;Rainy;Black Friday;4;WAHR
29;05.12.2022;14:51:45;97;55;Other;City_8;;WAHR;237;Toys_Product;Toys;4;42,40679013;169,6271605;Credit Card;WAHR;0;169,6271605;WAHR;Express;2;Snowy;Christmas Market;3;WAHR
30;23.11.2021;06:19:53;163;61;Male;City_9;8;FALSCH;605;Food_Product;Food;3;55,86502778;167,5950833;Cash;FALSCH;16,75950833;150,83557497;FALSCH;;;Snowy;Black Friday;1;FALSCH
31;20.12.2018;07:34:07;497;54;Other;City_13;38;FALSCH;866;Decorations_Product;Decorations;2;35,49895959;70,99791918;Cash;WAHR;0;70,99791918;FALSCH;;;Sunny;None;5;WAHR
32;23.12.2020;20:20:04;393;41;Female;City_9;;WAHR;618;Clothing_Product;Clothing;2;23,48797244;46,97594489;Cash;FALSCH;0;46,97594489;WAHR;Overnight;1;Snowy;Christmas Market;4;WAHR
33;05.12.2023;11:05:37;26;54;Other;City_12;;WAHR;318;Clothing_Product;Clothing;5;24,39762872;121,9881436;Online Payment;FALSCH;12,19881436;109,78932924;WAHR;Overnight;4;Sunny;Black Friday;3;WAHR
34;07.11.2018;05:25:36;215;24;Male;City_2;73;FALSCH;427;Decorations_Product;Decorations;5;66,24160918;331,2080459;Cash;FALSCH;0;331,2080459;WAHR;;;Sunny;Christmas Market;1;WAHR
35;15.11.2019;00:36:50;179;67;Male;City_7;;WAHR;813;Clothing_Product;Clothing;1;91,73863572;91,73863572;Credit Card;WAHR;0;91,73863572;FALSCH;Express;3;Rainy;Christmas Market;5;WAHR
36;11.11.2018;08:01:19;377;28;Male;City_9;;WAHR;718;Electronics_Product;Electronics;3;20,08620872;60,25862617;Debit Card;WAHR;0;60,25862617;FALSCH;Express;3;Snowy;Christmas Market;1;WAHR
37;19.12.2018;22:23:31;177;69;Other;City_9;;WAHR;228;Electronics_Product;Electronics;3;44,43614065;133,308422;Online Payment;WAHR;0;133,308422;FALSCH;Standard;5;Sunny;Christmas Market;3;WAHR
38;17.11.2022;02:29:20;168;54;Other;City_9;;WAHR;924;Electronics_Product;Electronics;5;74,09690773;370,4845387;Credit Card;FALSCH;0;370,4845387;WAHR;Standard;3;Sunny;Christmas Market;5;WAHR
39;18.12.2022;15:59:43;184;39;Female;City_13;;WAHR;513;Food_Product;Food;5;31,61629973;158,0814987;Debit Card;WAHR;15,80814987;142,27334883;FALSCH;Express;5;Sunny;Black Friday;4;FALSCH
40;17.11.2019;21:27:08;288;45;Other;City_4;20;FALSCH;146;Clothing_Product;Clothing;2;18,43094789;36,86189577;Debit Card;FALSCH;0;36,86189577;WAHR;;;Sunny;None;3;WAHR
41;21.12.2021;22:09:55;359;62;Other;City_6;;WAHR;122;Food_Product;Food;2;93,32665645;186,6533129;Cash;WAHR;0;186,6533129;FALSCH;Express;5;Rainy;None;2;WAHR
42;22.12.2021;10:32:38;204;59;Male;City_7;;WAHR;68;Food_Product;Food;4;57,36855054;229,4742022;Debit Card;WAHR;0;229,4742022;FALSCH;Overnight;1;Sunny;None;2;FALSCH
43;16.11.2023;23:47:12;15;42;Female;City_7;;WAHR;171;Electronics_Product;Electronics;3;77,62282233;232,868467;Cash;WAHR;0;232,868467;WAHR;Overnight;4;Sunny;None;3;FALSCH
44;04.11.2020;23:17:32;292;34;Other;City_9;;WAHR;759;Decorations_Product;Decorations;4;87,60777349;350,431094;Debit Card;FALSCH;0;350,431094;FALSCH;Standard;4;Sunny;None;1;WAHR
45;12.11.2019;10:56:53;292;42;Female;City_6;;WAHR;793;Clothing_Product;Clothing;3;32,9962309;98,98869269;Online Payment;FALSCH;9,898869269;89,089823421;WAHR;Express;5;Rainy;Black Friday;3;WAHR
46;24.12.2019;07:05:00;13;23;Other;City_5;;WAHR;968;Electronics_Product;Electronics;5;85,11299226;425,5649613;Credit Card;FALSCH;0;425,5649613;WAHR;Express;1;Rainy;None;3;FALSCH
47;03.11.2020;15:15:54;317;69;Female;City_2;;WAHR;348;Clothing_Product;Clothing;3;87,58882257;262,7664677;Cash;FALSCH;0;262,7664677;FALSCH;Standard;1;Rainy;Christmas Market;5;FALSCH
48;22.11.2022;15:39:48;448;33;Male;City_5;;WAHR;722;Electronics_Product;Electronics;2;67,92499783;135,8499957;Online Payment;WAHR;0;135,8499957;WAHR;Overnight;4;Snowy;Christmas Market;4;WAHR
49;30.11.2019;09:16:06;333;57;Other;City_6;91;FALSCH;525;Electronics_Product;Electronics;4;99,89468474;399,5787389;Cash;WAHR;0;399,5787389;FALSCH;;;Snowy;None;5;FALSCH
50;15.12.2019;13:06:29;403;28;Female;City_7;;WAHR;2;Clothing_Product;Clothing;1;27,79030372;27,79030372;Debit Card;WAHR;0;27,79030372;WAHR;Express;3;Rainy;None;2;FALSCH
51;22.11.2018;19:54:29;144;68;Female;City_1;6;FALSCH;576;Toys_Product;Toys;2;91,28600953;182,5720191;Debit Card;FALSCH;18,25720191;164,31481719;FALSCH;;;Sunny;Black Friday;2;WAHR
52;16.12.2023;03:31:45;166;37;Male;City_2;;WAHR;898;Clothing_Product;Clothing;1;89,65107189;89,65107189;Debit Card;WAHR;0;89,65107189;WAHR;Express;5;Rainy;Christmas Market;4;WAHR
53;27.12.2022;05:37:17;50;57;Other;City_1;;WAHR;559;Food_Product;Food;1;43,66667685;43,66667685;Credit Card;FALSCH;0;43,66667685;WAHR;Express;1;Rainy;Christmas Market;1;FALSCH
54;26.12.2020;14:26:59;419;22;Other;City_2;;WAHR;704;Electronics_Product;Electronics;2;92,30535408;184,6107082;Debit Card;WAHR;18,46107082;166,14963738;FALSCH;Standard;1;Snowy;Black Friday;2;WAHR
55;04.11.2022;02:55:40;455;66;Other;City_18;;WAHR;399;Decorations_Product;Decorations;5;31,4878916;157,439458;Cash;FALSCH;0;157,439458;FALSCH;Overnight;1;Snowy;Christmas Market;4;FALSCH
56;15.12.2021;16:56:39;64;36;Other;City_18;34;FALSCH;912;Toys_Product;Toys;3;45,080534;135,241602;Debit Card;FALSCH;13,5241602;121,7174418;WAHR;;;Snowy;Black Friday;4;WAHR
57;22.11.2019;17:25:03;130;57;Male;City_6;;WAHR;95;Decorations_Product;Decorations;2;24,43791828;48,87583656;Credit Card;WAHR;0;48,87583656;FALSCH;Express;1;Sunny;None;1;WAHR
58;24.12.2023;04:41:47;167;47;Other;City_10;;WAHR;51;Decorations_Product;Decorations;1;93,89029546;93,89029546;Online Payment;FALSCH;0;93,89029546;FALSCH;Overnight;1;Snowy;None;4;FALSCH
59;30.12.2021;03:58:38;253;34;Other;City_15;77;FALSCH;492;Electronics_Product;Electronics;2;65,86888123;131,7377625;Cash;WAHR;0;131,7377625;WAHR;;;Snowy;None;5;FALSCH
60;13.12.2020;14:00:12;283;31;Other;City_20;7;FALSCH;433;Electronics_Product;Electronics;1;19,96229443;19,96229443;Debit Card;WAHR;0;19,96229443;FALSCH;;;Sunny;None;4;FALSCH
61;26.11.2018;04:35:13;289;18;Male;City_6;22;FALSCH;420;Electronics_Product;Electronics;1;24,24178761;24,24178761;Cash;FALSCH;2,424178761;21,817608849;WAHR;;;Snowy;Black Friday;1;WAHR
62;12.11.2023;04:33:59;292;46;Female;City_13;;WAHR;641;Decorations_Product;Decorations;2;52,29007831;104,5801566;Debit Card;WAHR;0;104,5801566;WAHR;Overnight;2;Sunny;None;5;FALSCH
63;02.11.2018;21:49:14;191;33;Female;City_10;;WAHR;648;Clothing_Product;Clothing;5;56,26043398;281,3021699;Debit Card;FALSCH;0;281,3021699;FALSCH;Overnight;5;Snowy;Christmas Market;3;WAHR
64;30.12.2020;14:51:11;401;55;Female;City_12;72;FALSCH;480;Electronics_Product;Electronics;2;80,86359592;161,7271918;Credit Card;WAHR;16,17271918;145,55447262;WAHR;;;Sunny;Black Friday;4;FALSCH
65;25.11.2022;14:10:24;172;69;Female;City_9;;WAHR;801;Decorations_Product;Decorations;3;10,86556328;32,59668985;Debit Card;WAHR;3,259668985;29,337020865;WAHR;Standard;3;Snowy;Black Friday;1;FALSCH
66;07.11.2021;21:35:09;380;23;Other;City_12;43;FALSCH;454;Toys_Product;Toys;5;96,33759319;481,687966;Debit Card;WAHR;0;481,687966;WAHR;;;Sunny;None;5;WAHR
67;26.12.2019;16:35:32;273;57;Other;City_2;29;FALSCH;313;Decorations_Product;Decorations;2;29,16293855;58,3258771;Cash;FALSCH;0;58,3258771;FALSCH;;;Snowy;None;3;WAHR
68;24.12.2020;13:07:28;497;66;Other;City_2;;WAHR;670;Clothing_Product;Clothing;4;68,75242368;275,0096947;Debit Card;FALSCH;27,50096947;247,50872523;FALSCH;Express;1;Rainy;Black Friday;5;WAHR
69;26.12.2020;07:11:08;57;44;Female;City_13;19;FALSCH;280;Decorations_Product;Decorations;1;83,70982419;83,70982419;Credit Card;WAHR;0;83,70982419;WAHR;;;Rainy;Christmas Market;1;WAHR
70;09.12.2020;02:36:57;337;48;Other;City_2;35;FALSCH;492;Electronics_Product;Electronics;4;34,53250357;138,1300143;Online Payment;WAHR;0;138,1300143;FALSCH;;;Snowy;None;4;WAHR
71;22.12.2021;14:00:15;43;49;Male;City_11;;WAHR;479;Toys_Product;Toys;4;45,03339629;180,1335852;Cash;FALSCH;0;180,1335852;WAHR;Overnight;5;Sunny;None;5;WAHR
72;16.12.2023;06:09:54;137;62;Male;City_16;;WAHR;261;Toys_Product;Toys;1;12,65823407;12,65823407;Online Payment;FALSCH;1,265823407;11,392410663;WAHR;Standard;3;Rainy;Black Friday;2;FALSCH
73;06.11.2020;21:51:54;13;35;Other;City_20;;WAHR;95;Clothing_Product;Clothing;3;75,31099581;225,9329874;Debit Card;WAHR;0;225,9329874;FALSCH;Overnight;4;Rainy;Christmas Market;3;FALSCH
74;16.11.2018;23:00:26;379;54;Female;City_15;;WAHR;535;Toys_Product;Toys;1;98,40516391;98,40516391;Cash;WAHR;0;98,40516391;WAHR;Overnight;4;Sunny;Christmas Market;4;FALSCH
75;18.12.2019;07:40:51;370;39;Male;City_7;3;FALSCH;947;Electronics_Product;Electronics;5;10,49416744;52,47083721;Cash;FALSCH;0;52,47083721;WAHR;;;Rainy;None;3;FALSCH
76;08.12.2018;14:51:39;246;25;Other;City_6;;WAHR;21;Food_Product;Food;3;66,63749009;199,9124703;Credit Card;FALSCH;19,99124703;179,92122327;WAHR;Express;2;Snowy;Black Friday;2;WAHR
77;12.12.2021;18:11:23;20;53;Male;City_3;;WAHR;368;Clothing_Product;Clothing;2;58,06705248;116,134105;Credit Card;FALSCH;11,6134105;104,5206945;WAHR;Express;5;Snowy;Black Friday;4;FALSCH
78;03.12.2022;11:57:27;309;53;Male;City_14;36;FALSCH;948;Decorations_Product;Decorations;2;67,75525431;135,5105086;Cash;WAHR;0;135,5105086;WAHR;;;Snowy;None;4;WAHR
79;24.12.2020;06:13:16;176;30;Female;City_15;36;FALSCH;280;Clothing_Product;Clothing;5;73,71695045;368,5847522;Cash;WAHR;36,85847522;331,72627698;FALSCH;;;Sunny;Black Friday;3;FALSCH
80;17.11.2021;22:45:30;457;26;Female;City_10;;WAHR;704;Electronics_Product;Electronics;5;36,96888543;184,8444271;Online Payment;FALSCH;0;184,8444271;WAHR;Express;3;Sunny;None;5;FALSCH
81;11.12.2022;09:24:45;395;66;Male;City_1;87;FALSCH;162;Clothing_Product;Clothing;3;79,68374049;239,0512215;Credit Card;FALSCH;23,90512215;215,14609935;WAHR;;;Rainy;Black Friday;2;WAHR
82;27.11.2018;13:19:34;141;19;Male;City_19;98;FALSCH;403;Food_Product;Food;1;63,44909304;63,44909304;Debit Card;WAHR;6,344909304;57,104183736;WAHR;;;Sunny;Black Friday;1;FALSCH
83;25.12.2022;10:32:35;424;40;Other;City_7;;WAHR;514;Electronics_Product;Electronics;3;10,90445886;32,71337658;Cash;FALSCH;3,271337658;29,442038922;WAHR;Express;2;Rainy;Black Friday;3;FALSCH
84;14.12.2022;13:03:36;285;57;Male;City_11;;WAHR;42;Clothing_Product;Clothing;1;18,37414743;18,37414743;Online Payment;WAHR;1,837414743;16,536732687;WAHR;Overnight;4;Sunny;Black Friday;4;FALSCH
85;04.11.2018;22:29:10;88;51;Male;City_1;;WAHR;702;Electronics_Product;Electronics;2;69,03197538;138,0639508;Credit Card;WAHR;0;138,0639508;FALSCH;Overnight;2;Snowy;Christmas Market;2;FALSCH
86;08.12.2020;15:16:24;88;39;Male;City_18;34;FALSCH;154;Toys_Product;Toys;4;59,31072414;237,2428966;Online Payment;FALSCH;0;237,2428966;FALSCH;;;Rainy;Christmas Market;4;FALSCH
87;09.12.2018;07:29:05;266;19;Female;City_10;28;FALSCH;877;Electronics_Product;Electronics;3;52,21764115;156,6529234;Credit Card;FALSCH;15,66529234;140,98763106;WAHR;;;Snowy;Black Friday;2;WAHR
88;21.11.2019;11:41:50;271;29;Other;City_11;53;FALSCH;572;Clothing_Product;Clothing;2;13,13791576;26,27583152;Debit Card;FALSCH;0;26,27583152;WAHR;;;Snowy;Christmas Market;1;FALSCH
89;26.11.2023;08:29:29;197;32;Female;City_6;;WAHR;895;Electronics_Product;Electronics;4;85,0671237;340,2684948;Cash;WAHR;34,02684948;306,24164532;WAHR;Express;2;Rainy;Black Friday;4;FALSCH
90;30.11.2023;19:59:52;155;49;Other;City_17;51;FALSCH;509;Electronics_Product;Electronics;3;85,37423841;256,1227152;Credit Card;WAHR;25,61227152;230,51044368;WAHR;;;Sunny;Black Friday;5;FALSCH
91;18.11.2018;07:08:11;483;70;Other;City_15;71;FALSCH;210;Electronics_Product;Electronics;2;75,4986668;150,9973336;Cash;FALSCH;15,09973336;135,89760024;WAHR;;;Sunny;Black Friday;3;FALSCH
92;08.11.2022;04:44:30;454;62;Other;City_20;;WAHR;494;Toys_Product;Toys;4;39,94097245;159,7638898;Online Payment;WAHR;0;159,7638898;FALSCH;Standard;3;Snowy;None;4;WAHR
93;07.11.2023;06:45:18;53;32;Other;City_12;;WAHR;914;Decorations_Product;Decorations;2;93,49003467;186,9800693;Credit Card;FALSCH;18,69800693;168,28206237;WAHR;Standard;2;Sunny;Black Friday;3;FALSCH
94;11.11.2020;17:13:30;113;33;Male;City_9;3;FALSCH;364;Electronics_Product;Electronics;1;68,45961504;68,45961504;Online Payment;WAHR;0;68,45961504;FALSCH;;;Snowy;None;5;WAHR
95;17.12.2022;17:36:27;411;40;Female;City_16;48;FALSCH;615;Food_Product;Food;1;64,58862125;64,58862125;Cash;FALSCH;6,458862125;58,129759125;FALSCH;;;Sunny;Black Friday;4;FALSCH
96;25.11.2018;22:34:43;464;51;Female;City_5;8;FALSCH;488;Electronics_Product;Electronics;5;10,54388751;52,71943756;Cash;FALSCH;5,271943756;47,447493804;WAHR;;;Snowy;Black Friday;2;FALSCH
97;08.12.2019;19:34:18;475;23;Female;City_19;97;FALSCH;453;Clothing_Product;Clothing;5;67,63835772;338,1917886;Cash;WAHR;0;338,1917886;WAHR;;;Rainy;Christmas Market;2;FALSCH
98;18.12.2022;11:37:18;176;69;Other;City_18;;WAHR;792;Clothing_Product;Clothing;5;31,49499298;157,4749649;Credit Card;WAHR;0;157,4749649;FALSCH;Standard;2;Snowy;Christmas Market;2;FALSCH
99;04.11.2022;22:23:41;9;69;Male;City_20;;WAHR;936;Electronics_Product;Electronics;2;23,8755016;47,7510032;Cash;WAHR;0;47,7510032;WAHR;Overnight;4;Sunny;Christmas Market;5;WAHR
100;03.11.2022;03:58:24;120;19;Other;City_8;70;FALSCH;13;Food_Product;Food;4;20,04152523;80,16610091;Debit Card;FALSCH;0;80,16610091;WAHR;;;Snowy;Christmas Market;2;FALSCH
101;03.12.2023;22:30:28;420;21;Male;City_6;;WAHR;374;Decorations_Product;Decorations;1;82,22127485;82,22127485;Credit Card;FALSCH;8,222127485;73,999147365;FALSCH;Standard;3;Rainy;Black Friday;4;FALSCH
102;17.12.2018;14:40:57;93;43;Other;City_18;30;FALSCH;209;Decorations_Product;Decorations;5;24,84182888;124,2091444;Online Payment;FALSCH;0;124,2091444;FALSCH;;;Sunny;None;1;FALSCH
103;28.12.2021;12:54:24;266;21;Other;City_5;;WAHR;776;Decorations_Product;Decorations;1;93,32794426;93,32794426;Cash;FALSCH;0;93,32794426;WAHR;Standard;4;Sunny;Christmas Market;2;FALSCH
104;06.12.2018;14:00:32;312;60;Other;City_4;63;FALSCH;379;Decorations_Product;Decorations;1;48,94546053;48,94546053;Cash;WAHR;0;48,94546053;FALSCH;;;Rainy;Christmas Market;2;FALSCH
105;09.11.2018;07:03:58;285;22;Female;City_11;100;FALSCH;752;Decorations_Product;Decorations;5;60,92595975;304,6297987;Online Payment;WAHR;0;304,6297987;WAHR;;;Rainy;Christmas Market;2;FALSCH
106;30.12.2018;20:54:50;3;64;Female;City_18;3;FALSCH;530;Decorations_Product;Decorations;1;58,36473136;58,36473136;Debit Card;FALSCH;5,836473136;52,528258224;FALSCH;;;Sunny;Black Friday;2;WAHR
107;31.12.2020;10:26:56;358;30;Female;City_1;28;FALSCH;365;Electronics_Product;Electronics;2;26,57491349;53,14982698;Online Payment;WAHR;5,314982698;47,834844282;FALSCH;;;Rainy;Black Friday;1;FALSCH
108;25.12.2020;10:41:20;164;26;Other;City_9;64;FALSCH;485;Clothing_Product;Clothing;3;44,55040027;133,6512008;Cash;FALSCH;13,36512008;120,28608072;FALSCH;;;Sunny;Black Friday;5;FALSCH
109;02.11.2019;16:30:41;161;41;Female;City_9;81;FALSCH;605;Food_Product;Food;2;52,42564792;104,8512958;Debit Card;WAHR;0;104,8512958;WAHR;;;Sunny;Christmas Market;3;WAHR
110;17.11.2018;06:04:34;417;26;Male;City_18;;WAHR;176;Electronics_Product;Electronics;3;28,07287674;84,21863021;Debit Card;FALSCH;8,421863021;75,796767189;FALSCH;Standard;4;Rainy;Black Friday;5;FALSCH
111;20.12.2018;15:18:23;471;63;Other;City_17;99;FALSCH;58;Toys_Product;Toys;1;90,03445467;90,03445467;Credit Card;WAHR;0;90,03445467;WAHR;;;Snowy;None;2;WAHR
112;27.11.2018;12:33:03;401;36;Other;City_2;;WAHR;73;Clothing_Product;Clothing;1;93,28315006;93,28315006;Debit Card;FALSCH;9,328315006;83,954835054;FALSCH;Standard;2;Sunny;Black Friday;2;FALSCH
113;20.11.2022;23:58:09;305;47;Female;City_13;;WAHR;434;Decorations_Product;Decorations;2;95,04972805;190,0994561;Online Payment;WAHR;0;190,0994561;FALSCH;Overnight;1;Snowy;None;4;FALSCH
114;26.11.2023;23:46:37;373;40;Female;City_13;;WAHR;187;Toys_Product;Toys;5;15,40103189;77,00515944;Credit Card;WAHR;7,700515944;69,304643496;FALSCH;Overnight;4;Snowy;Black Friday;2;FALSCH
115;05.11.2023;07:51:53;226;44;Female;City_13;80;FALSCH;426;Decorations_Product;Decorations;1;93,87027142;93,87027142;Cash;FALSCH;0;93,87027142;WAHR;;;Rainy;None;1;WAHR
116;14.12.2020;16:20:53;429;55;Male;City_16;55;FALSCH;838;Decorations_Product;Decorations;5;85,628004;428,14002;Online Payment;WAHR;0;428,14002;FALSCH;;;Rainy;None;2;FALSCH
117;31.12.2019;10:01:42;304;65;Other;City_10;;WAHR;566;Electronics_Product;Electronics;4;16,80425209;67,21700837;Online Payment;FALSCH;0;67,21700837;WAHR;Express;3;Snowy;Christmas Market;1;WAHR
118;25.12.2019;10:30:53;30;46;Other;City_16;62;FALSCH;335;Food_Product;Food;3;63,80302787;191,4090836;Credit Card;WAHR;19,14090836;172,26817524;WAHR;;;Sunny;Black Friday;4;WAHR
119;27.12.2020;02:19:15;72;30;Female;City_1;43;FALSCH;956;Decorations_Product;Decorations;2;43,82787063;87,65574127;Credit Card;WAHR;0;87,65574127;FALSCH;;;Snowy;None;2;FALSCH
120;12.11.2020;23:17:36;45;41;Other;City_4;27;FALSCH;415;Toys_Product;Toys;5;41,25271553;206,2635776;Online Payment;WAHR;0;206,2635776;FALSCH;;;Snowy;Christmas Market;1;FALSCH
121;01.11.2023;00:31:31;466;67;Male;City_6;57;FALSCH;620;Decorations_Product;Decorations;3;56,71009937;170,1302981;Cash;WAHR;17,01302981;153,11726829;WAHR;;;Snowy;Black Friday;2;FALSCH
122;08.12.2021;18:27:16;291;65;Other;City_11;;WAHR;512;Food_Product;Food;2;43,51874413;87,03748826;Credit Card;WAHR;0;87,03748826;FALSCH;Express;2;Snowy;Christmas Market;2;WAHR
123;16.12.2021;09:18:12;317;70;Male;City_10;;WAHR;987;Electronics_Product;Electronics;1;96,27042319;96,27042319;Credit Card;FALSCH;9,627042319;86,643380871;FALSCH;Overnight;2;Rainy;Black Friday;1;FALSCH
124;21.12.2023;04:42:16;371;55;Male;City_3;;WAHR;638;Toys_Product;Toys;1;12,52564591;12,52564591;Online Payment;WAHR;0;12,52564591;FALSCH;Express;5;Rainy;Christmas Market;2;WAHR
125;13.11.2023;06:43:52;467;26;Female;City_15;;WAHR;139;Toys_Product;Toys;4;78,02025372;312,0810149;Online Payment;FALSCH;31,20810149;280,87291341;WAHR;Express;2;Rainy;Black Friday;1;FALSCH
